"","logFC","logCPM","PValue","FDR","ID"
"29896",3.35737244355801,0.937012873126341,1.65825904350221e-10,2.75752431266255e-08,"29896"
"24298",2.22025459400511,2.13104162764931,1.82957687914259e-10,3.02845328825048e-08,"24298"
"15435",2.18065511391663,1.85470060000558,1.84200834343768e-10,3.03510826817117e-08,"15435"
"22970",2.46552974981626,1.60544435218558,1.86690234067967e-10,3.06214413470118e-08,"22970"
"37124",4.35559926626269,0.500988922753538,2.06572785248212e-10,3.37293165415463e-08,"37124"
"8052",6.61958125415509,-0.00989191748969404,2.56968281915391e-10,4.15816163807933e-08,"8052"
"34968",2.27918220547897,1.8370822139424,2.76476802624061e-10,4.45386849227198e-08,"34968"
"38302",1.6401240016088,4.35573146022709,3.26396333112804e-10,5.23467185794469e-08,"38302"
"21700",3.31044848852334,0.751996766058071,3.55676775703576e-10,5.67902497843519e-08,"21700"
"4020",3.472270701843,0.668025051361091,3.88251376656451e-10,6.17182860204758e-08,"4020"
"13565",1.75785553600461,3.51653000177676,3.98762156292248e-10,6.30608893211181e-08,"13565"
"35703",1.82228899424202,2.97615186161047,4.00192424955966e-10,6.30608893211181e-08,"35703"
"31303",2.25066039923912,2.40906260393764,5.45617387178498e-10,8.52320494213684e-08,"31303"
"31184",1.54075151121576,4.99728925265556,5.80947363871512e-10,9.016004125692e-08,"31184"
"694",4.91550941452967,0.248600264445256,5.82161275124356e-10,9.016004125692e-08,"694"
"39792",1.56636719857668,4.55625862012091,6.03400672658313e-10,9.3050056721689e-08,"39792"
"3508",1.89986023515398,2.79323941393104,6.55031123187619e-10,1.0058211949032e-07,"3508"
"37582",1.45395328156036,6.80486979953173,7.75574116999128e-10,1.18587254287769e-07,"37582"
"28971",1.47698997068987,6.0305022574967,8.65546979058544e-10,1.31232196383729e-07,"28971"
"32194",1.45290079217936,6.660365148556,9.12371058079887e-10,1.3775275996156e-07,"32194"
"9571",1.57717485565818,4.23282038515244,9.27192188473524e-10,1.38841537455528e-07,"9571"
"2662",1.67738957415077,3.69460974556303,9.27277553742058e-10,1.38841537455528e-07,"2662"
"219",2.05314548840178,2.33472693072847,1.00795187627318e-09,1.50297287005444e-07,"219"
"11433",1.57429411675716,4.18747314513611,1.21127555138787e-09,1.79871927044574e-07,"11433"
"37251",2.54094924825134,1.32876541145183,1.41988881807185e-09,2.09986426230012e-07,"37251"
"3742",1.86815190142775,2.81136953133694,1.65603478399054e-09,2.43910266042035e-07,"3742"
"6491",1.62875649012908,3.75713263909103,1.93556909760852e-09,2.83922808484567e-07,"6491"
"26492",1.44028746215627,6.22327652247622,2.01408907270597e-09,2.93683205206224e-07,"26492"
"19727",3.1277962822663,1.28788660484013,2.01838533715238e-09,2.93683205206224e-07,"19727"
"28617",1.44217640067665,5.77489081325573,2.14025028768969e-09,3.10164384061375e-07,"28617"
"9582",1.46378866473462,5.62198042063784,2.18971377698652e-09,3.14973632167716e-07,"9582"
"14165",1.4431580806811,5.88480866113517,2.19089321529989e-09,3.14973632167716e-07,"14165"
"35241",2.06911471508142,2.33064673763891,2.66051939186987e-09,3.80971596252478e-07,"35241"
"41262",1.68494845329809,3.05802894457486,3.12290505409667e-09,4.40195425301087e-07,"41262"
"35251",1.64383969786019,3.64062579133143,3.77364023404884e-09,5.25759875851939e-07,"35251"
"14398",1.93652281829042,2.26639650878226,3.80083437291449e-09,5.27511955179305e-07,"14398"
"10682",1.61046548150196,3.54536531092075,4.05293291217646e-09,5.6034514994593e-07,"10682"
"36673",1.46301275121724,4.90755119153212,4.17373655846907e-09,5.74844594321971e-07,"36673"
"13989",1.65173424978047,3.5909944436503,4.22856524626559e-09,5.80181661260433e-07,"13989"
"35240",1.98600928939972,2.46948959296879,4.91667751973696e-09,6.72039046589804e-07,"35240"
"9069",1.67066918693081,3.26704817272456,5.03355569500553e-09,6.85418329261413e-07,"9069"
"32584",1.96900857841617,2.21567005481248,5.65384601219335e-09,7.64116229775269e-07,"32584"
"25523",2.20732932863283,1.63521177086005,6.44717849595427e-09,8.61653466764852e-07,"25523"
